candidate_id,method,organism,backend,label,n,q25,median,q75,mean
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,arabidopsis,af2,negative,178,0.08300586284044988,0.1295334534508149,0.19254805781989157,0.15007103924898682
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,arabidopsis,af2,positive,180,0.06215526604452689,0.09354941389670407,0.18259017220616122,0.133391118244677
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,arabidopsis,af3,negative,180,0.04435578817425738,0.05239318865027069,0.07142271845645622,0.06747982643803313
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,arabidopsis,af3,positive,182,0.0526805375123125,0.06097117899808063,0.08703443818237361,0.08596297456539864
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,ecoli,af2,negative,89,0.054527807401487674,0.080312011290573,0.15065108664520596,0.11074320407141167
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,ecoli,af2,positive,97,0.05331887206527343,0.06152094492076075,0.07461774403678587,0.07977128370016572
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,ecoli,af3,negative,93,0.03967588482323745,0.047719618012934645,0.058299086956226105,0.053407000912824444
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,ecoli,af3,positive,96,0.05039810652972444,0.0568957172254822,0.0648375273981487,0.06212519100930299
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,human,af2,negative,1127,0.08669118953174634,0.13879520092857633,0.2154546174949274,0.16306852968579771
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,human,af2,positive,1140,0.06444020327955471,0.11716439038425097,0.2369226328621739,0.16207756056793365
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,human,af3,negative,852,0.04550244980957008,0.056263837114134185,0.09098973300420628,0.08788382557621433
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,human,af3,positive,1100,0.054481233766935554,0.06601394269430674,0.1432598118191069,0.11844022544968481
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,yeast,af2,negative,508,0.07386669112400006,0.11098360583508529,0.18396342758951656,0.13738578401600798
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,yeast,af2,positive,514,0.06068701067258951,0.0927286198685739,0.1940476981345934,0.1405151481637388
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,yeast,af3,negative,495,0.043844899831286505,0.0523912303552778,0.07275651006513698,0.07344187940507266
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,Atom Gap nonuniform remove n=0,yeast,af3,positive,514,0.052893302864005905,0.06386760510277503,0.11517587800983799,0.10088746118602704
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",arabidopsis,af2,negative,178,0.08747254312038422,0.1342620849609375,0.20044008642435074,0.15531738532518738
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",arabidopsis,af2,positive,180,0.06617241352796555,0.09731896594166756,0.18734294921159744,0.13905245113290018
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",arabidopsis,af3,negative,180,0.04684077575802803,0.05509836971759796,0.07595265656709671,0.07055089017376304
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",arabidopsis,af3,positive,182,0.055628796108067036,0.06463778018951416,0.09132392518222332,0.09030012962418599
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",ecoli,af2,negative,89,0.056826185435056686,0.08447017520666122,0.1556774228811264,0.11520255840477649
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",ecoli,af2,positive,97,0.056316979229450226,0.06528611481189728,0.07875075191259384,0.08370154685119993
atom_gaussian__g32__o0__s1.5__moverlap__f12,"Atom Gap overlap (new, shared grid)",ecoli,af3,negative,93,0.04108382761478424,0.0496554896235466,0.059761080890893936,0.055827602378583405
