candidate_id,diagnostic_slice,auroc,average_precision,n_pos,n_neg,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject
atom_gaussian__g24__o2__s1.5__mgapcontact__cs0.03__f12,af3_mixed_200,0.6049,0.5792312023840672,100,100,0.09770006276978566,0.08451856666499061,0.013181496104795049,0.0,0.0,0.0,0.23429016694507254,0.23429016694507254,0
atom_gaussian__g24__o2__s1.5__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.75,0.6746031746031745,6,6,0.10565074901091503,0.03463359911901984,0.0710171498918952,0.0,0.0,0.0,0.19233429632371007,0.19233429632371007,0
atom_gaussian__g24__o2__s1.5__mgapcontact__cs0.07__f12,af3_mixed_200,0.623,0.5991767905447083,100,100,0.07570433884313249,0.05224469309110055,0.023459645752031938,0.0,0.0,0.0,0.21572703336054194,0.21572703336054194,0
atom_gaussian__g24__o2__s1.5__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8055555555555556,0.7166666666666668,6,6,0.08221066926398728,0.017367782199266768,0.06484288706472051,0.0,0.0,0.0,0.1408755529708254,0.1408755529708254,0
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,af3_mixed_200,0.6322,0.6208505940581829,100,100,0.010406064267200282,0.005441335841800912,0.00496472842539937,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,1
atom_gaussian__g24__o2__s1.5__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.02707007419058767,0.001384513334244352,0.02568556085634332,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,0
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,af3_mixed_200,0.6341,0.621816990933379,100,100,0.015299613647942079,0.009832653201743171,0.0054669604461989076,0.0,0.0,0.0009313647819850712,0.07388274901136252,0.07295138422937744,1
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.02809420750529135,0.0054616281880302715,0.02263257931726108,0.0,0.0,0.0028448826175693728,0.07388274901136252,0.07103786639379314,0
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,af3_mixed_200,0.6325,0.6204101836757365,100,100,0.01786600138206109,0.01151417552150505,0.00635182586055604,0.0,0.0,0.00119172328598542,0.08847215399264192,0.0872804307066565,1
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.03564726519163956,0.0064995173265343445,0.029147747865105218,0.0,0.0,0.0036362299536047563,0.08847215399264192,0.08483592403903717,0
atom_gaussian__g24__o2__s1__mgapexcess__f12,af3_mixed_200,0.6153,0.6222922542069937,100,100,0.010406064267200282,0.003902200194834481,0.006503864072365801,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,1
atom_gaussian__g24__o2__s1__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.02707007419058767,0.0,0.02707007419058767,0.0,0.0,0.0,0.07368363607200229,0.07368363607200229,0
atom_gaussian__g24__o2__s1__mgapsoft__f12,af3_mixed_200,0.6245,0.6168331949461369,100,100,0.014514664639062718,0.006797117882169303,0.007717546756893415,0.0,0.0,0.0002185853958197636,0.07388274901136252,0.07366416361554276,1
atom_gaussian__g24__o2__s1__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.028044247379821058,0.0015574696356104205,0.026486777744210637,0.0,0.0,0.00030236298530255534,0.07388274901136252,0.07358038602605996,0
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,af3_mixed_200,0.6218,0.614958679051399,100,100,0.01710504263483595,0.008163568913193645,0.008941473721642303,0.0,0.0,0.000271178020940791,0.08847215399264192,0.08820097597170114,1
atom_gaussian__g24__o2__s1__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.03564726519163956,0.001863287214342449,0.03378397797729711,0.0,0.0,0.0003851034131324287,0.08847215399264192,0.0880870505795095,0
atom_gaussian__g24__o2__s2__mgapcontact__cs0.03__f12,af3_mixed_200,0.4824,0.5090690193406434,100,100,0.13537954846902392,0.13590844920623288,-0.0005289007372089594,0.0,0.0,0.03579648015662143,0.28694348704679834,0.2511470068901769,1
atom_gaussian__g24__o2__s2__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.3611111111111111,0.48316498316498313,6,6,0.11834548996427766,0.13018050720338528,-0.011835017239107626,0.0,0.0,0.04635309798799651,0.21241854114198658,0.16606544315399008,1
atom_gaussian__g24__o2__s2__mgapcontact__cs0.07__f12,af3_mixed_200,0.5262,0.5521716782761968,100,100,0.11168407835321982,0.10686650699997577,0.004817571353244052,0.0,0.0,0.02861877816446405,0.22592653349800473,0.19730775533354067,1
atom_gaussian__g24__o2__s2__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.5833333333333334,0.5930555555555556,6,6,0.11088516272516716,0.09046215817758152,0.020423004547585638,0.0,0.0,0.04635303621281495,0.1785840507367889,0.13223101452397396,0
atom_gaussian__g24__o2__s2__mgapexcess__f12,af3_mixed_200,0.6054,0.6119909219691984,100,100,0.01675549901684665,0.014696305498147315,0.0020591935186993343,0.0,0.0,0.00287248401460058,0.07368363607200229,0.07081115205740171,1
atom_gaussian__g24__o2__s2__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.03129830074293302,0.009968000650406192,0.02133030009252683,0.0,0.0,0.006644099154860167,0.07368363607200229,0.06703953691714212,0
atom_gaussian__g24__o2__s2__mgapsoft__f12,af3_mixed_200,0.5788,0.5949873528993612,100,100,0.02348297177221196,0.02061761304259222,0.002865358729619738,0.0,0.0,0.0033614994565210853,0.07388274901136252,0.07052124955484143,1
atom_gaussian__g24__o2__s2__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.034954955043435175,0.017393434352116592,0.017561520691318583,0.0,0.0,0.011192808521511053,0.07388274901136252,0.06268994048985146,0
atom_gaussian__g24__o2__s2__mgapsoft__w2__f12,af3_mixed_200,0.5745,0.5937885458338712,100,100,0.027185604373199224,0.023861535103423908,0.0033240692697753156,0.0,0.0,0.004316452947272109,0.08847215399264192,0.08415570104536982,1
atom_gaussian__g24__o2__s2__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.04323965000527641,0.020491664934550118,0.02274798507072629,0.0,0.0,0.014150115863155515,0.08847215399264192,0.07432203812948641,0
atom_gaussian__g24__o4__s1.5__mgapcontact__cs0.03__f12,af3_mixed_200,0.5948,0.568833123971407,100,100,0.21997915291268633,0.19560348832118885,0.02437566459149748,0.0,0.0,0.0,0.4816099914789049,0.4816099914789049,0
atom_gaussian__g24__o4__s1.5__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.7222222222222222,0.6496031746031746,6,6,0.24287389154571332,0.09527240717418511,0.1476014843715282,0.0,0.0,0.0,0.4184580954115553,0.4184580954115553,0
atom_gaussian__g24__o4__s1.5__mgapcontact__cs0.07__f12,af3_mixed_200,0.6206,0.5941866991473467,100,100,0.17011216874840213,0.12725722138974377,0.04285494735865836,0.0,0.0,0.0,0.42503271099727824,0.42503271099727824,0
atom_gaussian__g24__o4__s1.5__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.7777777777777778,0.6968253968253969,6,6,0.19356004581055314,0.04818260021296643,0.1453774455975867,0.0,0.0,0.0,0.30650027952895115,0.30650027952895115,0
atom_gaussian__g24__o4__s1.5__mgapexcess__f12,af3_mixed_200,0.6274,0.6181470024090546,100,100,0.024397108556384488,0.012842586826183848,0.01155452173020064,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0
atom_gaussian__g24__o4__s1.5__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.07799584337153598,0.0038660068456376805,0.0741298365258983,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0
atom_gaussian__g24__o4__s1.5__mgapsoft__f12,af3_mixed_200,0.628,0.6185789002020126,100,100,0.03265496455485069,0.022259815058741576,0.010395149496109111,0.0,0.0,0.002523239449808796,0.18160103261188054,0.17907779316207176,0
atom_gaussian__g24__o4__s1.5__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.08036632913051564,0.013113015667609588,0.06725331346290606,0.0,0.0,0.008453468297684374,0.18160103261188054,0.17314756431419617,0
atom_gaussian__g24__o4__s1.5__mgapsoft__w2__f12,af3_mixed_200,0.6297,0.6165366472528737,100,100,0.03529637954929975,0.02360651915424863,0.011689860395051117,0.0,0.0,0.0032728286459205885,0.1971861867778947,0.1939133581319741,0
atom_gaussian__g24__o4__s1.5__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.08883186789188637,0.014152770825818232,0.07467909706606814,0.0,0.0,0.009492749385614684,0.1971861867778947,0.18769343739228003,0
atom_gaussian__g24__o4__s1__mgapexcess__f12,af3_mixed_200,0.6133,0.6208531498962724,100,100,0.024397108556384488,0.00856073522691295,0.015836373329471538,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0
atom_gaussian__g24__o4__s1__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.07799584337153598,0.0,0.07799584337153598,0.0,0.0,0.0,0.18106005743644354,0.18106005743644354,0
atom_gaussian__g24__o4__s1__mgapsoft__f12,af3_mixed_200,0.6194,0.6144268758240127,100,100,0.0305863988033701,0.016101560606079583,0.014484838197290517,0.0,0.0,0.0005654745357188587,0.18160103261188054,0.18103555807616167,0
atom_gaussian__g24__o4__s1__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.08036632913051564,0.0035597398785628814,0.07680658925195276,0.0,0.0,0.0009078402677987357,0.18160103261188054,0.1806931923440818,0
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,af3_mixed_200,0.6191,0.6118445491789133,100,100,0.032785588529187074,0.017707449646831228,0.015078138882355846,0.0,0.0,0.0006562502744848735,0.1971861867778947,0.19652993650340983,0
atom_gaussian__g24__o4__s1__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.9166666666666666,0.9150793650793649,6,6,0.08883186789188637,0.004008026664571054,0.08482384122731532,0.0,0.0,0.001011147117334985,0.1971861867778947,0.1961750396605597,0
atom_gaussian__g24__o4__s2__mgapcontact__cs0.03__f12,af3_mixed_200,0.4588,0.5005310258542205,100,100,0.2913170066998854,0.3104692022383759,-0.019152195538490457,0.0,0.0,0.11489882687633592,0.5651655391212526,0.45026671224491666,1
atom_gaussian__g24__o4__s2__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.2777777777777778,0.4456649831649831,6,6,0.2744127229703417,0.3250375871790325,-0.050624864208690834,0.0,0.0,0.14338090897639053,0.45554895272061147,0.3121680437442209,1
atom_gaussian__g24__o4__s2__mgapcontact__cs0.07__f12,af3_mixed_200,0.5096,0.5377501967573235,100,100,0.2448832649311133,0.24151000524457944,0.003373259686533847,0.0,0.0,0.07441926835641438,0.4449861971788575,0.37056692882244313,1
atom_gaussian__g24__o4__s2__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.5555555555555556,0.5523809523809523,6,6,0.2612469763906067,0.22308476430533153,0.03816221208527515,0.0,0.0,0.1433807178913915,0.3829881179316148,0.2396074000402233,0
atom_gaussian__g24__o4__s2__mgapexcess__f12,af3_mixed_200,0.5953,0.6050994280980463,100,100,0.03646422878720619,0.03312869775369022,0.0033355310335159705,0.0,0.0,0.007469506821835849,0.18106005743644354,0.1735905506146077,1
atom_gaussian__g24__o4__s2__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8611111111111112,0.8773809523809524,6,6,0.08620579009287258,0.024866350926922028,0.06133943916595055,0.0,0.0,0.016109314650263242,0.18106005743644354,0.1649507427861803,0
atom_gaussian__g24__o4__s2__mgapsoft__f12,af3_mixed_200,0.5681,0.591701677629711,100,100,0.04987845235747037,0.045707242243196625,0.004171210114273745,0.0,0.0,0.009174776405988757,0.18160103261188054,0.17242625620589178,1
atom_gaussian__g24__o4__s2__mgapsoft__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8611111111111112,0.8773809523809524,6,6,0.09230747306728089,0.0402347366363877,0.05207273643089319,0.0,0.0,0.02822925907793316,0.18160103261188054,0.15337177353394738,0
atom_gaussian__g24__o4__s2__mgapsoft__w2__f12,af3_mixed_200,0.5714,0.5916811090394384,100,100,0.05441366635614406,0.05001974512817765,0.004393921227966405,0.0,0.0,0.01225591377743739,0.1971861867778947,0.1849302730004573,1
atom_gaussian__g24__o4__s2__mgapsoft__w2__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.10128299638498377,0.043058043238711874,0.05822495314627189,0.0,0.0,0.031097528744440037,0.1971861867778947,0.16608865803345468,0
atom_gaussian__g24__o6__s1.5__mgapcontact__cs0.03__f12,af3_mixed_200,0.598,0.5637089553872197,100,100,0.36890217425206484,0.3388562631300133,0.030045911122051516,0.0,0.0,0.0,0.6418781256980127,0.6418781256980127,0
atom_gaussian__g24__o6__s1.5__mgapcontact__cs0.03__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.75,0.6746031746031745,6,6,0.4088038603037285,0.16692802648819657,0.24187583381553193,0.0,0.0,0.0,0.5836470507157876,0.5836470507157876,0
atom_gaussian__g24__o6__s1.5__mgapcontact__cs0.07__f12,af3_mixed_200,0.6148,0.5806726517786289,100,100,0.28898634103855714,0.21906394871636137,0.06992239232219577,0.0,0.0,0.0,0.5721443868034546,0.5721443868034546,0
atom_gaussian__g24__o6__s1.5__mgapcontact__cs0.07__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8611111111111112,0.8555555555555555,6,6,0.32465387682309843,0.08489495268621583,0.2397589241368826,0.0,0.0,0.0,0.45550179376214683,0.45550179376214683,0
atom_gaussian__g24__o6__s1.5__mgapexcess__f12,af3_mixed_200,0.6258,0.6141064409893808,100,100,0.03772747796959257,0.020072620971040817,0.01765485699855175,0.0,0.0,0.0,0.3095215732149874,0.3095215732149874,0
atom_gaussian__g24__o6__s1.5__mgapexcess__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.8888888888888888,0.8972222222222221,6,6,0.13802796126119993,0.006840606934691762,0.13118735432650816,0.0,0.0,0.0,0.29341969589211914,0.29341969589211914,0
