candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
interface_sc,cell,human,af3,0.0,0.31460429173075105,32,32,0.0,0.31460429173075105,0.0,0.0
interface_sc,cell,yeast,af3,0.0,0.3222337977924731,16,16,0.0,0.3222337977924731,0.0,0.0
interface_sc,cell,ecoli,af3,0.0,0.5021825396825397,6,3,0.0,0.5021825396825397,0.0,0.0
interface_sc,cell,arabidopsis,af3,0.5223776223776224,0.4842459862421244,52,55,0.5223776223776224,0.4842459862421244,0.0,0.0
interface_sc,global,,,0.14275542897828408,0.3319801075372445,106,106,0.14275542897828408,0.3319801075372445,0.0,0.0
interface_sc,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
interface_sc,af3,,af3,0.14275542897828408,0.3319801075372445,106,106,0.14275542897828408,0.3319801075372445,0.0,0.0
atom_gaussian__g32__o10__s1.5__f12,cell,human,af3,0.5625,0.6001080523184876,32,32,0.0,0.31460429173075105,0.5625,0.2855037605877366
atom_gaussian__g32__o10__s1.5__f12,cell,yeast,af3,0.59375,0.5959100731751227,16,16,0.0,0.3222337977924731,0.59375,0.2736762753826496
atom_gaussian__g32__o10__s1.5__f12,cell,ecoli,af3,0.7222222222222222,0.8178571428571427,6,3,0.0,0.5021825396825397,0.7222222222222222,0.31567460317460305
atom_gaussian__g32__o10__s1.5__f12,cell,arabidopsis,af3,0.6174825174825175,0.6432587483845402,52,55,0.5223776223776224,0.4842459862421244,0.09510489510489506,0.15901276214241583
atom_gaussian__g32__o10__s1.5__f12,global,,,0.5972766108935564,0.6040182341436983,106,106,0.14275542897828408,0.3319801075372445,0.45452118191527235,0.27203812660645377
atom_gaussian__g32__o10__s1.5__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o10__s1.5__f12,af3,,af3,0.5972766108935564,0.6040182341436983,106,106,0.14275542897828408,0.3319801075372445,0.45452118191527235,0.27203812660645377
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,human,af3,0.8212890625,0.8273013923862484,32,32,0.0,0.31460429173075105,0.8212890625,0.5126971006554975
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,yeast,af3,0.62890625,0.6275831432506797,16,16,0.0,0.3222337977924731,0.62890625,0.3053493454582066
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,arabidopsis,af3,0.5825174825174825,0.5304298618329795,52,55,0.5223776223776224,0.4842459862421244,0.06013986013986006,0.04618387559085507
atom_gaussian__g32__o0__s1.5__moverlap__f12,global,,,0.6870772516909932,0.6691847616932884,106,106,0.14275542897828408,0.3319801075372445,0.5443218227127091,0.33720465415604395
atom_gaussian__g32__o0__s1.5__moverlap__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o0__s1.5__moverlap__f12,af3,,af3,0.6870772516909932,0.6691847616932884,106,106,0.14275542897828408,0.3319801075372445,0.5443218227127091,0.33720465415604395
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,human,af3,0.8310546875,0.8333249003322827,32,32,0.0,0.31460429173075105,0.8310546875,0.5187206086015317
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,yeast,af3,0.63671875,0.6323041983393818,16,16,0.0,0.3222337977924731,0.63671875,0.3100704005469087
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,arabidopsis,af3,0.5755244755244755,0.5258461001273722,52,55,0.5223776223776224,0.4842459862421244,0.05314685314685308,0.041600113885247814
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,global,,,0.687433250266999,0.6693909289379388,106,106,0.14275542897828408,0.3319801075372445,0.5446778212887149,0.33741082140069434
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af3,,af3,0.687433250266999,0.6693909289379388,106,106,0.14275542897828408,0.3319801075372445,0.5446778212887149,0.33741082140069434
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,human,af3,0.84765625,0.8451524070718509,32,32,0.0,0.31460429173075105,0.84765625,0.5305481153410998
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,yeast,af3,0.65234375,0.6110290924038656,16,16,0.0,0.3222337977924731,0.65234375,0.28879529461139253
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,arabidopsis,af3,0.5486013986013986,0.5118875641593899,52,55,0.5223776223776224,0.4842459862421244,0.02622377622377614,0.02764157791726546
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,global,,,0.6869882520469918,0.6686296439733401,106,106,0.14275542897828408,0.3319801075372445,0.5442328230687077,0.33664953643609563
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,af3,,af3,0.6869882520469918,0.6686296439733401,106,106,0.14275542897828408,0.3319801075372445,0.5442328230687077,0.33664953643609563
atom_gaussian__g32__o4__s1.5__mgapband__f12,cell,human,af3,0.7041015625,0.7514778957203229,32,32,0.0,0.31460429173075105,0.7041015625,0.4368736039895718
atom_gaussian__g32__o4__s1.5__mgapband__f12,cell,yeast,af3,0.51953125,0.5940882909523337,16,16,0.0,0.3222337977924731,0.51953125,0.27185449315986066
atom_gaussian__g32__o4__s1.5__mgapband__f12,cell,ecoli,af3,0.9444444444444444,0.9761904761904762,6,3,0.0,0.5021825396825397,0.9444444444444444,0.4740079365079365
atom_gaussian__g32__o4__s1.5__mgapband__f12,cell,arabidopsis,af3,0.6202797202797202,0.573242946334246,52,55,0.5223776223776224,0.4842459862421244,0.0979020979020978,0.0889969600921216
atom_gaussian__g32__o4__s1.5__mgapband__f12,global,,,0.6308294766820933,0.646950444752376,106,106,0.14275542897828408,0.3319801075372445,0.48807404770380924,0.31497033721513146
atom_gaussian__g32__o4__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o4__s1.5__mgapband__f12,af3,,af3,0.6308294766820933,0.646950444752376,106,106,0.14275542897828408,0.3319801075372445,0.48807404770380924,0.31497033721513146
atom_gaussian__g32__o6__s1.5__mgapband__f12,cell,human,af3,0.759765625,0.7916186002339411,32,32,0.0,0.31460429173075105,0.759765625,0.4770143085031901
atom_gaussian__g32__o6__s1.5__mgapband__f12,cell,yeast,af3,0.546875,0.6069697786481253,16,16,0.0,0.3222337977924731,0.546875,0.2847359808556522
atom_gaussian__g32__o6__s1.5__mgapband__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o6__s1.5__mgapband__f12,cell,arabidopsis,af3,0.5902097902097903,0.5497186886926861,52,55,0.5223776223776224,0.4842459862421244,0.06783216783216783,0.06547270245056175
atom_gaussian__g32__o6__s1.5__mgapband__f12,global,,,0.63937344250623,0.6503596289988627,106,106,0.14275542897828408,0.3319801075372445,0.4966180135279459,0.3183795214616182
atom_gaussian__g32__o6__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o6__s1.5__mgapband__f12,af3,,af3,0.63937344250623,0.6503596289988627,106,106,0.14275542897828408,0.3319801075372445,0.4966180135279459,0.3183795214616182
atom_gaussian__g32__o8__s1.5__mgapband__f12,cell,human,af3,0.78515625,0.8121719054302068,32,32,0.0,0.31460429173075105,0.78515625,0.49756761369945574
atom_gaussian__g32__o8__s1.5__mgapband__f12,cell,yeast,af3,0.56640625,0.6119328409481442,16,16,0.0,0.3222337977924731,0.56640625,0.2896990431556711
atom_gaussian__g32__o8__s1.5__mgapband__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o8__s1.5__mgapband__f12,cell,arabidopsis,af3,0.583916083916084,0.5381514479503606,52,55,0.5223776223776224,0.4842459862421244,0.06153846153846154,0.053905461708236235
atom_gaussian__g32__o8__s1.5__mgapband__f12,global,,,0.6573513705945176,0.6579924103186859,106,106,0.14275542897828408,0.3319801075372445,0.5145959416162336,0.32601230278144144
atom_gaussian__g32__o8__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o8__s1.5__mgapband__f12,af3,,af3,0.6573513705945176,0.6579924103186859,106,106,0.14275542897828408,0.3319801075372445,0.5145959416162336,0.32601230278144144
atom_gaussian__g32__o2__s1.5__mgapband__f12,cell,human,af3,0.6728515625,0.7285692480893415,32,32,0.0,0.31460429173075105,0.6728515625,0.4139649563585905
atom_gaussian__g32__o2__s1.5__mgapband__f12,cell,yeast,af3,0.52734375,0.5860963961147785,16,16,0.0,0.3222337977924731,0.52734375,0.2638625983223054
atom_gaussian__g32__o2__s1.5__mgapband__f12,cell,ecoli,af3,0.8888888888888888,0.9583333333333334,6,3,0.0,0.5021825396825397,0.8888888888888888,0.4561507936507937
atom_gaussian__g32__o2__s1.5__mgapband__f12,cell,arabidopsis,af3,0.6426573426573426,0.5903031296035887,52,55,0.5223776223776224,0.4842459862421244,0.12027972027972023,0.10605714336146427
atom_gaussian__g32__o2__s1.5__mgapband__f12,global,,,0.6343004627981488,0.645004965922629,106,106,0.14275542897828408,0.3319801075372445,0.4915450338198647,0.3130248583853845
atom_gaussian__g32__o2__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o2__s1.5__mgapband__f12,af3,,af3,0.6343004627981488,0.645004965922629,106,106,0.14275542897828408,0.3319801075372445,0.4915450338198647,0.3130248583853845
atom_gaussian__g32__o3__s1.5__mgapband__f12,cell,human,af3,0.6806640625,0.7307071006212786,32,32,0.0,0.31460429173075105,0.6806640625,0.4161028088905276
atom_gaussian__g32__o3__s1.5__mgapband__f12,cell,yeast,af3,0.5234375,0.5856069285647213,16,16,0.0,0.3222337977924731,0.5234375,0.2633731307722482
atom_gaussian__g32__o3__s1.5__mgapband__f12,cell,ecoli,af3,0.8888888888888888,0.9583333333333334,6,3,0.0,0.5021825396825397,0.8888888888888888,0.4561507936507937
atom_gaussian__g32__o3__s1.5__mgapband__f12,cell,arabidopsis,af3,0.6402097902097902,0.5884502877288214,52,55,0.5223776223776224,0.4842459862421244,0.11783216783216777,0.10420430148669696
atom_gaussian__g32__o3__s1.5__mgapband__f12,global,,,0.6359024563901744,0.6447388788898243,106,106,0.14275542897828408,0.3319801075372445,0.4931470274118903,0.3127587713525798
atom_gaussian__g32__o3__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o3__s1.5__mgapband__f12,af3,,af3,0.6359024563901744,0.6447388788898243,106,106,0.14275542897828408,0.3319801075372445,0.4931470274118903,0.3127587713525798
atom_gaussian__g32__o5__s1.5__mgapband__f12,cell,human,af3,0.7373046875,0.7738398686212261,32,32,0.0,0.31460429173075105,0.7373046875,0.45923557689047506
atom_gaussian__g32__o5__s1.5__mgapband__f12,cell,yeast,af3,0.52734375,0.5936256733433345,16,16,0.0,0.3222337977924731,0.52734375,0.2713918755508614
atom_gaussian__g32__o5__s1.5__mgapband__f12,cell,ecoli,af3,0.9444444444444444,0.9761904761904762,6,3,0.0,0.5021825396825397,0.9444444444444444,0.4740079365079365
atom_gaussian__g32__o5__s1.5__mgapband__f12,cell,arabidopsis,af3,0.606993006993007,0.5578130408336073,52,55,0.5223776223776224,0.4842459862421244,0.08461538461538454,0.07356705459148288
atom_gaussian__g32__o5__s1.5__mgapband__f12,global,,,0.6384834460662158,0.6472357065775244,106,106,0.14275542897828408,0.3319801075372445,0.4957280170879317,0.3152555990402799
atom_gaussian__g32__o5__s1.5__mgapband__f12,af2,,af2,nan,nan,0,0,nan,nan,nan,nan
atom_gaussian__g32__o5__s1.5__mgapband__f12,af3,,af3,0.6384834460662158,0.6472357065775244,106,106,0.14275542897828408,0.3319801075372445,0.4957280170879317,0.3152555990402799
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,human,af3,0.8134765625,0.8292528423018302,32,32,0.0,0.31460429173075105,0.8134765625,0.5146485505710792
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,yeast,af3,0.59375,0.624448248604562,16,16,0.0,0.3222337977924731,0.59375,0.302214450812089
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,ecoli,af3,1.0,1.0,6,3,0.0,0.5021825396825397,1.0,0.4978174603174603
atom_gaussian__g32__o10__s1.5__mgapband__f12,cell,arabidopsis,af3,0.5776223776223777,0.5279799732886958,52,55,0.5223776223776224,0.4842459862421244,0.05524475524475525,0.04373398704657144
