candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,,,0.0,0.0,0.14275542897828408,0.0,0.3319801075372445,0.0,0.14275542897828408,0.0,0.3319801075372445,0.0,nan,nan,1.0,nan,nan,0.0,0.0675355038070762,0.10029972011977169,-0.03276421631269549,0.0,0.0,0.04246736971886853,0.11963903631303369,0.07717166659416516,1,0,0,0,0,1,0,1,1,1,0,0,0,
atom_gaussian__g32__o6__s1.5__mgapcontact__cs0.07__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_excess_contact_bandpass,12,,,0.07,0.3106796116504854,0.3106796116504854,0.6384834460662158,0.4957280170879317,0.6099687080803234,0.27798860054307895,0.6384834460662158,0.4957280170879317,0.6099687080803234,0.27798860054307895,nan,nan,nan,nan,nan,nan,0.21570908589630566,0.17479221917383492,0.040916866722470746,0.0,0.0,0.0,0.5157401336788259,0.5157401336788259,0,1,0,0,1,0,0,0,0,1,0,1,0,
atom_gaussian__g32__o8__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,8,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2912621359223301,0.2912621359223301,0.6573513705945176,0.5145959416162336,0.6579924103186859,0.32601230278144144,0.6573513705945176,0.5145959416162336,0.6579924103186859,0.32601230278144144,nan,nan,nan,nan,nan,nan,0.04445249926973188,0.036755000567906954,0.007697498701824929,0.0,0.0,0.008754603926370686,0.4299397648994004,0.4211851609730297,1,1,0,0,1,1,0,0,0,1,0,2,0,
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,2,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,,,0.2815533980582524,0.2815533980582524,0.6869882520469918,0.5442328230687077,0.6686296439733401,0.33664953643609563,0.6869882520469918,0.5442328230687077,0.6686296439733401,0.33664953643609563,nan,nan,nan,nan,nan,nan,0.05228100615317239,0.0422715539059277,0.010009452247244692,0.0,0.0,0.01636546675675826,0.8232583622979164,0.8068928955411582,0,1,0,1,0,1,1,0,0,1,0,3,0,
atom_gaussian__g32__o10__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,10,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2815533980582524,0.2815533980582524,0.6735493058027768,0.5307938768244927,0.6633094675485544,0.33132936001130986,0.6735493058027768,0.5307938768244927,0.6633094675485544,0.33132936001130986,nan,nan,nan,nan,nan,nan,0.05486306000884586,0.04505869450630307,0.009804365502542788,0.0,0.0,0.012880101047144989,0.6339379928520554,0.6210578918049104,1,1,0,0,1,1,1,0,0,1,0,4,0,
atom_gaussian__g32__o6__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2815533980582524,0.2815533980582524,0.63937344250623,0.4966180135279459,0.6503596289988627,0.3183795214616182,0.63937344250623,0.4966180135279459,0.6503596289988627,0.3183795214616182,nan,nan,nan,nan,nan,nan,0.03395316716445269,0.028558027296584874,0.0053951398678678125,0.0,0.0,0.005047668256727533,0.2563575582519692,0.2513098899952417,1,1,0,0,1,0,0,0,0,1,0,5,0,
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,gap_zernike_nonuniform,12,,,,0.27184466019417475,0.27184466019417475,0.687433250266999,0.5446778212887149,0.6693909289379388,0.33741082140069434,0.687433250266999,0.5446778212887149,0.6693909289379388,0.33741082140069434,nan,nan,nan,nan,nan,nan,0.06284214000051382,0.052136033203700194,0.010706106796813622,0.0,0.0,0.017272526041072184,0.8615849199390601,0.8443123938979878,0,1,0,1,0,1,1,0,0,1,0,6,0,
atom_gaussian__g32__o0__s1.5__moverlap__f12,grid_gap,atom_gaussian,32,0,1.5,,,,,2.0,8.0,shared_grid_overlap,12,,,,0.27184466019417475,0.27184466019417475,0.6870772516909932,0.5443218227127091,0.6691847616932884,0.33720465415604395,0.6870772516909932,0.5443218227127091,0.6691847616932884,0.33720465415604395,nan,nan,nan,nan,nan,nan,0.06689266860485077,0.05492284893989563,0.01196981966495514,0.0,0.0,0.017567116767168045,0.8706340789794922,0.8530669622123241,0,1,0,1,0,1,1,0,0,1,0,7,0,
atom_gaussian__g24__o2__s1.5__mgapsoft__f12,grid_gap,atom_gaussian,24,2,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.27184466019417475,0.27184466019417475,0.6530793876824492,0.5103239587041651,0.6431357046152432,0.31115559707799867,0.6530793876824492,0.5103239587041651,0.6431357046152432,0.31115559707799867,nan,nan,nan,nan,nan,nan,0.015299613647942079,0.009597662503219386,0.005701951144722692,0.0,0.0,0.0009313647819850712,0.07388274901136252,0.07295138422937744,1,1,0,0,1,0,0,0,0,1,0,8,0,
atom_gaussian__g24__o2__s1.5__mgapsoft__w2__f12,grid_gap,atom_gaussian,24,2,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.27184466019417475,0.27184466019417475,0.6517443930224279,0.5089889640441438,0.6423794880599567,0.3103993805227122,0.6517443930224279,0.5089889640441438,0.6423794880599567,0.3103993805227122,nan,nan,nan,nan,nan,nan,0.01786600138206109,0.011453892215537236,0.006412109166523855,0.0,0.0,0.00119172328598542,0.08847215399264192,0.0872804307066565,1,1,0,0,1,0,0,0,0,1,0,9,0,
atom_gaussian__g32__o6__s1.5__mgapsoft__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,1.0,,0.27184466019417475,0.27184466019417475,0.6406194375222499,0.49786400854396584,0.6511483548441996,0.31916824730695514,0.6406194375222499,0.49786400854396584,0.6511483548441996,0.31916824730695514,nan,nan,nan,nan,nan,nan,0.03427611925526673,0.02912899904000253,0.0051471202152642,0.0,0.0,0.005338581918667642,0.2577388750099229,0.2524002930912552,1,1,0,0,1,0,0,0,0,1,0,10,0,
atom_gaussian__g32__o4__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,4,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.27184466019417475,0.27184466019417475,0.6308294766820933,0.48807404770380924,0.646950444752376,0.31497033721513146,0.6308294766820933,0.48807404770380924,0.646950444752376,0.31497033721513146,nan,nan,nan,nan,nan,nan,0.02253125573557793,0.018362285049985085,0.004168970685592844,0.0,0.0,0.0023737578149649334,0.13813709636695834,0.1357633385519934,1,1,0,0,1,0,0,0,0,1,0,11,0,
atom_gaussian__g24__o2__s2__mgapexcess__f12,grid_gap,atom_gaussian,24,2,2.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.27184466019417475,0.27184466019417475,0.6255784976860093,0.4828230687077252,0.6333361002667731,0.3013559927295286,0.6255784976860093,0.4828230687077252,0.6333361002667731,0.3013559927295286,nan,nan,nan,nan,nan,nan,0.01702507465171722,0.014469010172359836,0.002556064479357384,0.0,0.0,0.00287248401460058,0.07368363607200229,0.07081115205740171,1,1,0,0,1,0,0,0,0,1,0,12,0,
atom_gaussian__g32__o6__s1.5__mgapsoft__w2__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_soft_bandpass,12,,2.0,,0.2621359223300971,0.2621359223300971,0.6478284086863653,0.5050729797080812,0.6539495631731255,0.321969455635881,0.6478284086863653,0.5050729797080812,0.6539495631731255,0.321969455635881,nan,nan,nan,nan,nan,nan,0.03669041594420908,0.030606963626127463,0.00608345231808162,0.0,0.0,0.00658912294306041,0.2847211971378407,0.2781320741947803,1,1,0,0,1,0,0,0,0,1,0,13,0,
