candidate_id,scope,organism,backend,auroc,average_precision,n_pos,n_neg,sc_auroc,sc_average_precision,delta_auroc_vs_sc,delta_average_precision_vs_sc
interface_sc,cell,human,af2,0.7354083967683183,0.7349759921353464,1140,1127,0.7354083967683183,0.7349759921353464,0.0,0.0
interface_sc,cell,human,af3,0.619751387110542,0.6499858786103933,1100,852,0.619751387110542,0.6499858786103933,0.0,0.0
interface_sc,global,,,0.6733882101349888,0.666581650047519,2240,1979,0.6733882101349888,0.666581650047519,0.0,0.0
interface_sc,af2,,af2,0.7354083967683183,0.7349759921353464,1140,1127,0.7354083967683183,0.7349759921353464,0.0,0.0
interface_sc,af3,,af3,0.619751387110542,0.6499858786103933,1100,852,0.619751387110542,0.6499858786103933,0.0,0.0
atom_gaussian__g32__o10__s1.5__f12,cell,human,af2,0.5575802861190242,0.5928810676863333,1140,1127,0.7354083967683183,0.7349759921353464,-0.17782811064929405,-0.14209492444901306
atom_gaussian__g32__o10__s1.5__f12,cell,human,af3,0.5748666239863423,0.652729153945653,1100,852,0.619751387110542,0.6499858786103933,-0.044884763124199756,0.002743275335259754
atom_gaussian__g32__o10__s1.5__f12,global,,,0.5633294683462066,0.6179817759414655,2240,1979,0.6733882101349888,0.666581650047519,-0.11005874178878228,-0.04859987410605349
atom_gaussian__g32__o10__s1.5__f12,af2,,af2,0.5575802861190242,0.5928810676863333,1140,1127,0.7354083967683183,0.7349759921353464,-0.17782811064929405,-0.14209492444901306
atom_gaussian__g32__o10__s1.5__f12,af3,,af3,0.5748666239863423,0.652729153945653,1100,852,0.619751387110542,0.6499858786103933,-0.044884763124199756,0.002743275335259754
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,human,af2,0.469762138264917,0.5099622317697697,1140,1127,0.7354083967683183,0.7349759921353464,-0.2656462585034013,-0.22501376036557663
atom_gaussian__g32__o0__s1.5__moverlap__f12,cell,human,af3,0.6277544814340589,0.662036510333608,1100,852,0.619751387110542,0.6499858786103933,0.008003094323516868,0.012050631723214744
atom_gaussian__g32__o0__s1.5__moverlap__f12,global,,,0.5239202474193315,0.559745481047799,2240,1979,0.6733882101349888,0.666581650047519,-0.14946796271565732,-0.10683616899972004
atom_gaussian__g32__o0__s1.5__moverlap__f12,af2,,af2,0.469762138264917,0.5099622317697697,1140,1127,0.7354083967683183,0.7349759921353464,-0.2656462585034013,-0.22501376036557663
atom_gaussian__g32__o0__s1.5__moverlap__f12,af3,,af3,0.6277544814340589,0.662036510333608,1100,852,0.619751387110542,0.6499858786103933,0.008003094323516868,0.012050631723214744
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,human,af2,0.467560204859976,0.5084257413285401,1140,1127,0.7354083967683183,0.7349759921353464,-0.26784819190834225,-0.22655025080680624
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,cell,human,af3,0.6237825437473324,0.6596483136567134,1100,852,0.619751387110542,0.6499858786103933,0.004031156636790434,0.00966243504632014
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,global,,,0.521063803869198,0.5582268492753586,2240,1979,0.6733882101349888,0.666581650047519,-0.1523244062657908,-0.10835480077216042
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af2,,af2,0.467560204859976,0.5084257413285401,1140,1127,0.7354083967683183,0.7349759921353464,-0.26784819190834225,-0.22655025080680624
atom_gaussian__g32__o0__s1.5__mgapnonuniform__f12,af3,,af3,0.6237825437473324,0.6596483136567134,1100,852,0.619751387110542,0.6499858786103933,0.004031156636790434,0.00966243504632014
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,human,af2,0.46300222606204955,0.5060219387063987,1140,1127,0.7354083967683183,0.7349759921353464,-0.2724061707062687,-0.2289540534289477
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,cell,human,af3,0.6076440460947503,0.6514928830010014,1100,852,0.619751387110542,0.6499858786103933,-0.012107341015791695,0.0015070043906081354
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,global,,,0.5119495777087996,0.5543486840645948,2240,1979,0.6733882101349888,0.666581650047519,-0.16143863242618928,-0.1122329659829242
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,af2,,af2,0.46300222606204955,0.5060219387063987,1140,1127,0.7354083967683183,0.7349759921353464,-0.2724061707062687,-0.2289540534289477
atom_gaussian__g32__o2__s1.5__mgapnonuniform__f12,af3,,af3,0.6076440460947503,0.6514928830010014,1100,852,0.619751387110542,0.6499858786103933,-0.012107341015791695,0.0015070043906081354
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,cell,human,af2,0.5244181883279627,0.5447396131898565,1140,1127,0.7354083967683183,0.7349759921353464,-0.21099020844035554,-0.19023637894548984
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,cell,human,af3,0.6219963721724285,0.6609485105255322,1100,852,0.619751387110542,0.6499858786103933,0.0022449850618865286,0.01096263191513891
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,global,,,0.5571293221684833,0.5880622251411134,2240,1979,0.6733882101349888,0.666581650047519,-0.11625888796650552,-0.07851942490640562
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,af2,,af2,0.5244181883279627,0.5447396131898565,1140,1127,0.7354083967683183,0.7349759921353464,-0.21099020844035554,-0.19023637894548984
atom_gaussian__g24__o6__s1.5__mgapsoft__w2__f12,af3,,af3,0.6219963721724285,0.6609485105255322,1100,852,0.619751387110542,0.6499858786103933,0.0022449850618865286,0.01096263191513891
atom_gaussian__g32__o6__s1__mgapsoft__f12,cell,human,af2,0.4957922757203568,0.5261809298203173,1140,1127,0.7354083967683183,0.7349759921353464,-0.23961612104796148,-0.2087950623150291
atom_gaussian__g32__o6__s1__mgapsoft__f12,cell,human,af3,0.6045849338454973,0.6547775867335047,1100,852,0.619751387110542,0.6499858786103933,-0.015166453265044733,0.004791708123111471
atom_gaussian__g32__o6__s1__mgapsoft__f12,global,,,0.5311484876921967,0.5708729197473886,2240,1979,0.6733882101349888,0.666581650047519,-0.14223972244279215,-0.09570873030013038
