candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
atom_gaussian__g32__o2__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,2,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.21359223300970873,0.21359223300970873,0.6343004627981488,0.4915450338198647,0.645004965922629,0.3130248583853845,0.6343004627981488,0.4915450338198647,0.645004965922629,0.3130248583853845,nan,nan,nan,nan,nan,nan,0.010348518906748516,0.008331770046458069,0.002016748860290447,0.0,0.0,0.0009070592843138622,0.05532386448084113,0.05441680519652727,1,1,0,0,1,0,0,0,0,1,0,62,0,
atom_gaussian__g32__o3__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,3,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.21359223300970873,0.21359223300970873,0.6359024563901744,0.4931470274118903,0.6447388788898243,0.3127587713525798,0.6359024563901744,0.4931470274118903,0.6447388788898243,0.3127587713525798,nan,nan,nan,nan,nan,nan,0.010583473385740415,0.008446597053905883,0.0021368763318345314,0.0,0.0,0.001062417861164152,0.057159421226664675,0.056097003365500525,1,1,0,0,1,0,0,0,0,1,0,60,0,
atom_gaussian__g32__o4__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,4,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.27184466019417475,0.27184466019417475,0.6308294766820933,0.48807404770380924,0.646950444752376,0.31497033721513146,0.6308294766820933,0.48807404770380924,0.646950444752376,0.31497033721513146,nan,nan,nan,nan,nan,nan,0.02253125573557793,0.018362285049985085,0.004168970685592844,0.0,0.0,0.0023737578149649334,0.13813709636695834,0.1357633385519934,1,1,0,0,1,0,0,0,0,1,0,11,0,
atom_gaussian__g32__o5__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,5,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.22330097087378642,0.22330097087378642,0.6384834460662158,0.4957280170879317,0.6472357065775244,0.3152555990402799,0.6384834460662158,0.4957280170879317,0.6472357065775244,0.3152555990402799,nan,nan,nan,nan,nan,nan,0.024332683323032622,0.019563093938063797,0.004769589384968825,0.0,0.0,0.0034944066473472737,0.14859998255410145,0.1451055759067542,1,1,0,0,1,0,0,0,0,1,0,55,0,
atom_gaussian__g32__o6__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2815533980582524,0.2815533980582524,0.63937344250623,0.4966180135279459,0.6503596289988627,0.3183795214616182,0.63937344250623,0.4966180135279459,0.6503596289988627,0.3183795214616182,nan,nan,nan,nan,nan,nan,0.03395316716445269,0.028558027296584874,0.0053951398678678125,0.0,0.0,0.005047668256727533,0.2563575582519692,0.2513098899952417,1,1,0,0,1,0,0,0,0,1,0,5,0,
atom_gaussian__g32__o8__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,8,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2912621359223301,0.2912621359223301,0.6573513705945176,0.5145959416162336,0.6579924103186859,0.32601230278144144,0.6573513705945176,0.5145959416162336,0.6579924103186859,0.32601230278144144,nan,nan,nan,nan,nan,nan,0.04445249926973188,0.036755000567906954,0.007697498701824929,0.0,0.0,0.008754603926370686,0.4299397648994004,0.4211851609730297,1,1,0,0,1,1,0,0,0,1,0,2,0,
atom_gaussian__g32__o10__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,10,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,,,0.2815533980582524,0.2815533980582524,0.6735493058027768,0.5307938768244927,0.6633094675485544,0.33132936001130986,0.6735493058027768,0.5307938768244927,0.6633094675485544,0.33132936001130986,nan,nan,nan,nan,nan,nan,0.05486306000884586,0.04505869450630307,0.009804365502542788,0.0,0.0,0.012880101047144989,0.6339379928520554,0.6210578918049104,1,1,0,0,1,1,1,0,0,1,0,4,0,
atom_gaussian__g24__o2__s2__mgapexcess__f12,grid_gap,atom_gaussian,24,2,2.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.27184466019417475,0.27184466019417475,0.6255784976860093,0.4828230687077252,0.6333361002667731,0.3013559927295286,0.6255784976860093,0.4828230687077252,0.6333361002667731,0.3013559927295286,nan,nan,nan,nan,nan,nan,0.01702507465171722,0.014469010172359836,0.002556064479357384,0.0,0.0,0.00287248401460058,0.07368363607200229,0.07081115205740171,1,1,0,0,1,0,0,0,0,1,0,12,0,
atom_gaussian__g24__o4__s2__mgapexcess__f12,grid_gap,atom_gaussian,24,4,2.0,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.2524271844660194,0.2524271844660194,0.6146315414738341,0.47187611249555006,0.6277470493887188,0.29576694185147434,0.6146315414738341,0.47187611249555006,0.6277470493887188,0.29576694185147434,nan,nan,nan,nan,nan,nan,0.03774796322612479,0.032636326540949404,0.0051116366851753844,0.0,0.0,0.007469506821835849,0.18106005743644354,0.1735905506146077,1,1,0,0,1,0,0,0,0,1,0,22,0,
atom_gaussian__g32__o6__s1.5__mgapexcess__f12,grid_gap,atom_gaussian,32,6,1.5,,,,,2.0,8.0,gap_zernike_excess_bandpass,12,,,,0.2621359223300971,0.2621359223300971,0.6454254182983268,0.5026699893200427,0.6482751161890179,0.3162950086517734,0.6454254182983268,0.5026699893200427,0.6482751161890179,0.3162950086517734,nan,nan,nan,nan,nan,nan,0.020544422011796917,0.014932409743643167,0.0056120122681537505,0.0,0.0,0.0,0.2563161572127234,0.2563161572127234,1,1,0,0,1,0,0,0,0,1,0,15,0,
