candidate_id,diagnostic_slice,auroc,average_precision,n_pos,n_neg,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject
atom_gaussian__g32__o10__s1.5__f12,af3_mixed_24,0.5277777777777778,0.6094005373375072,12,12,0.971791794112076,0.9642339806689374,0.00755781344313855,0.5833333333333334,0.6666666666666666,0.8672689567417596,0.996464995894562,0.1291960391528023,1
atom_gaussian__g32__o10__s1.5__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.5555555555555556,0.5888888888888889,3,3,0.9712952442499365,0.9552372740342376,0.01605797021569888,0.6666666666666666,0.6666666666666666,0.8672689567417596,0.9912256553088077,0.12395669856704805,1
atom_gaussian__g32__o4__s1.5__mgapband__f12,af3_mixed_24,0.8263888888888888,0.855417267917268,12,12,0.024266845603626755,0.01730220487296735,0.006964640730659406,0.0,0.0,0.004915507982988894,0.16832066099438261,0.16340515301139372,1
atom_gaussian__g32__o4__s1.5__mgapband__f12,human_af3_hard_low_sc_pos_high_sc_neg,1.0,1.0,3,3,0.023460986271596315,0.0141217275266349,0.009339258744961415,0.0,0.0,0.013797030014177874,0.1258043645720136,0.11200733455783574,1
interface_sc,af3_mixed_24,0.1597222222222222,0.3597185638055876,12,12,0.06717528601853223,0.09968086745074625,-0.03250558143221402,0.0,0.0,0.04246736971886853,0.11230402995081921,0.06983666023195068,1
interface_sc,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.04994196760250952,0.11105008619529637,-0.06110811859278685,0.0,0.0,0.04246736971886853,0.11230402995081921,0.06983666023195068,1
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,af3_mixed_24,0.6666666666666666,0.6675777724690768,12,12,0.17166877947077902,0.11082778125199742,0.0608409982187816,0.0,0.0,0.01563341398681955,0.606524067059175,0.5908906530723556,0
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.7777777777777778,0.8055555555555555,3,3,0.13194454358364202,0.11209172115593263,0.019852822427709388,0.0,0.0,0.04215952151889418,0.16950152539633115,0.12734200387743697,1
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5416666666666666,0.6693347953216374,12,12,0.5968393083893524,0.581156004536024,0.01568330385332839,0.0,0.0,0.3758393953726042,0.7313773003454253,0.35553790497282106,1
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5304252188410482,0.6075930223354578,-0.07716780349440955,0.0,0.0,0.4365728557879222,0.7116907230596851,0.27511786727176285,1
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,af3_mixed_24,0.6597222222222222,0.6626526122656152,12,12,0.264147796162441,0.17601604239749996,0.08813175376494103,0.0,0.0,0.032203152534269586,0.6553435405954267,0.623140388061157,0
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.5555555555555556,0.5888888888888889,3,3,0.20272492239473908,0.17507411781888244,0.02765080457585664,0.0,0.0,0.07168075985129342,0.2386587250259321,0.1669779651746387,0
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5208333333333334,0.6189120900076278,12,12,0.601800559052414,0.5994888561028278,0.0023117029495862695,0.0,0.0,0.3791701235391101,0.7423702009140983,0.3632000773749882,1
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5360193833327389,0.6266061379897782,-0.09058675465703925,0.0,0.0,0.41547154805829223,0.7343773592722443,0.3189058112139521,1
surface_normal_gap__g24__o8__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5138888888888888,0.5767778718865676,12,12,0.6021016947432647,0.6091517359560286,-0.007050041212763869,0.0,0.0,0.38318724943377025,0.7452570134605905,0.36206976402682023,1
surface_normal_gap__g24__o8__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5476460594714865,0.637946277841215,-0.09030021836972857,0.0,0.0,0.4119581086073508,0.7452570134605905,0.33329890485323965,1
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,af3_mixed_24,0.6666666666666666,0.6476914088327133,12,12,0.32458030959645845,0.20715557863012118,0.11742473096633727,0.0,0.0,0.03815035361850297,0.6855240739065552,0.6473737202880523,0
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.6666666666666666,0.7555555555555555,3,3,0.23421471565750568,0.21554060978803333,0.01867410586947235,0.0,0.0,0.08830953099158419,0.3151074676679633,0.22679793667637915,1
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5486111111111112,0.6581349206349206,12,12,0.6118555230920661,0.5961750591991508,0.01568046389291533,0.0,0.0,0.3815607823130412,0.7483301907741601,0.3667694084611189,1
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5280991438131339,0.6251515704640972,-0.09705242665096325,0.0,0.0,0.4499728079863432,0.7301453246442873,0.28017251665794407,1
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,af3_mixed_24,0.6736111111111112,0.6937720775956069,12,12,0.44427523539597463,0.30797274061305063,0.136302494782924,0.0,0.0,0.0740795237716801,0.723715527667485,0.6496360038958049,0
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.5555555555555556,0.5888888888888889,3,3,0.3376513748733897,0.31842368431858115,0.019227690554808552,0.0,0.0,0.15052740574896106,0.39957554218336483,0.24904813643440377,1
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5347222222222222,0.6257677708764665,12,12,0.617093808048492,0.619773558531548,-0.0026797504830560204,0.0,0.0,0.38359978634507985,0.7574766809279408,0.373876894582861,1
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5378902922261913,0.64469577492278,-0.10680548269658863,0.0,0.0,0.428095541124697,0.7512491260257773,0.3231535849010803,1
surface_normal_gap__g32__o8__s1.5__d3__tr3__pr2.3__mnormalgap__f12,af3_mixed_24,0.5208333333333334,0.5789708543427079,12,12,0.6153637931437921,0.6267996660809849,-0.011435872937192837,0.0,0.0,0.3879439642364964,0.7608790039804726,0.3729350397439762,1
surface_normal_gap__g32__o8__s1.5__d3__tr3__pr2.3__mnormalgap__f12,human_af3_hard_low_sc_pos_high_sc_neg,0.0,0.3833333333333333,3,3,0.5527052310413142,0.6532742444720602,-0.10056901343074598,0.0,0.0,0.42534011857309423,0.7608790039804726,0.33553888540737836,1
