candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,0.0,0.0,0.10222222222222223,0.0,0.3397292532000178,0.0,0.10222222222222223,0.0,0.3397292532000178,0.0,nan,nan,1.0,nan,nan,0.0,0.059114479850225526,0.10585673537456171,-0.04674225552433618,0.0,0.0,0.04246736971886853,0.11230402995081921,0.06983666023195068,1,0,0,0,1,1,1,0,0,0,
atom_gaussian__g32__o4__s1.5__mgapband__f12,grid_gap,atom_gaussian,32,4,1.5,,,,,2.0,8.0,gap_zernike_bandpass,12,,0.4,0.4,0.8577777777777778,0.7555555555555555,0.8748523807347338,0.535123127534716,0.8577777777777778,0.7555555555555555,0.8748523807347338,0.535123127534716,nan,nan,nan,nan,nan,nan,0.024022887023375943,0.01564011632717486,0.008382770696201084,0.0,0.0,0.004915507982988894,0.16832066099438261,0.16340515301139372,1,1,0,0,0,0,1,0,1,0,
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,normal_gap,surface_normal_gap,24,4,1.5,1.5,3.0,2.3,,2.0,8.0,normal_gap_contact_field,12,,0.3333333333333333,0.3333333333333333,0.6844444444444444,0.5822222222222222,0.669449055825377,0.32971980262535916,0.6844444444444444,0.5822222222222222,0.669449055825377,0.32971980262535916,nan,nan,nan,nan,nan,nan,0.16950152539633115,0.11209172115593263,0.057409804240398515,0.0,0.0,0.01563341398681955,0.606524067059175,0.5908906530723556,0,1,0,1,0,0,1,0,2,0,500.0
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,normal_gap,surface_normal_gap,32,4,1.5,3.0,3.0,2.3,,2.0,8.0,normal_gap_contact_field,12,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5644444444444444,0.6434887003913374,0.30375944719131964,0.6666666666666666,0.5644444444444444,0.6434887003913374,0.30375944719131964,nan,nan,nan,nan,nan,nan,0.3151074676679633,0.21554060978803333,0.09956685787993,0.0,0.0,0.03815035361850297,0.6855240739065552,0.6473737202880523,0,1,0,1,0,0,1,0,3,0,500.0
surface_normal_gap__g32__o6__s1.5__d3__tr3__pr2.3__mnormalcontact__f12,normal_gap,surface_normal_gap,32,6,1.5,3.0,3.0,2.3,,2.0,8.0,normal_gap_contact_field,12,,0.3333333333333333,0.3333333333333333,0.6577777777777778,0.5555555555555556,0.6706561434208493,0.33092689022083155,0.6577777777777778,0.5555555555555556,0.6706561434208493,0.33092689022083155,nan,nan,nan,nan,nan,nan,0.398853614508831,0.31842368431858115,0.08042993019024985,0.0,0.0,0.0740795237716801,0.723715527667485,0.6496360038958049,0,1,0,1,0,0,1,0,4,0,500.0
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalcontact__f12,normal_gap,surface_normal_gap,24,6,1.5,1.5,3.0,2.3,,2.0,8.0,normal_gap_contact_field,12,,0.3333333333333333,0.3333333333333333,0.6488888888888888,0.5466666666666666,0.645386302151008,0.3056570489509902,0.6488888888888888,0.5466666666666666,0.645386302151008,0.3056570489509902,nan,nan,nan,nan,nan,nan,0.23329713044937722,0.17507411781888244,0.058223012630494786,0.0,0.0,0.032203152534269586,0.6553435405954267,0.623140388061157,0,1,0,1,0,0,1,0,5,0,500.0
surface_normal_gap__g32__o4__s1.5__d3__tr3__pr2.3__mnormalgap__f12,normal_gap,surface_normal_gap,32,4,1.5,3.0,3.0,2.3,,2.0,8.0,normal_gap_field,12,,0.26666666666666666,0.26666666666666666,0.4444444444444444,0.3422222222222222,0.5750645637663181,0.2353353105663003,0.4444444444444444,0.3422222222222222,0.5750645637663181,0.2353353105663003,nan,nan,nan,nan,nan,nan,0.5874186613452641,0.5961933792077034,-0.00877471786243933,0.0,0.0,0.3815607823130412,0.7483301907741601,0.3667694084611189,1,1,0,0,0,0,1,0,6,0,
surface_normal_gap__g24__o4__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,normal_gap,surface_normal_gap,24,4,1.5,1.5,3.0,2.3,,2.0,8.0,normal_gap_field,12,,0.26666666666666666,0.26666666666666666,0.4444444444444444,0.3422222222222222,0.5957840777467017,0.25605482454668393,0.4444444444444444,0.3422222222222222,0.5957840777467017,0.25605482454668393,nan,nan,nan,nan,nan,nan,0.5724153048372826,0.5842796822970515,-0.011864377459768871,0.0,0.0,0.3758393953726042,0.7313773003454253,0.35553790497282106,1,1,0,0,0,0,1,0,7,0,
surface_normal_gap__g24__o6__s1.5__d1.5__tr3__pr2.3__mnormalgap__f12,normal_gap,surface_normal_gap,24,6,1.5,1.5,3.0,2.3,,2.0,8.0,normal_gap_field,12,,0.26666666666666666,0.26666666666666666,0.4177777777777778,0.3155555555555556,0.5334882679796276,0.19375901477960977,0.4177777777777778,0.3155555555555556,0.5334882679796276,0.19375901477960977,nan,nan,nan,nan,nan,nan,0.5745553804948265,0.6081745062748843,-0.03361912578005788,0.0,0.0,0.3791701235391101,0.7423702009140983,0.3632000773749882,1,1,0,0,0,0,1,0,8,0,
atom_gaussian__g32__o10__s1.5__f12,per_side,atom_gaussian,32,10,1.5,,,,,2.0,8.0,hard_cutoff,12,,0.2,0.2,0.5244444444444445,0.4222222222222223,0.5851304103840337,0.2454011571840159,0.5244444444444445,0.4222222222222223,0.5851304103840337,0.2454011571840159,nan,nan,nan,nan,nan,nan,0.9712952442499365,0.9571697098794777,0.014125534370458825,0.6,0.6666666666666666,0.8672689567417596,0.996464995894562,0.1291960391528023,1,0,1,0,0,0,1,0,9,0,
