candidate_id,candidate_family,representation,grid_size,order,sigma,surface_density,surface_trim_cutoff,surface_probe_radius,proximity_length_scale,padding,distance,score_mode,fit_order,order_decay_n0,gap_band_soft_width,gap_contact_scale,sc_rescue_weight,sc_rescue_scale,sc_rescue_floor,af3_failure_rescue_rate,delta_rescue_vs_sc,pooled_af3_auroc,delta_af3_auroc_vs_sc,pooled_af3_average_precision,delta_af3_average_precision_vs_sc,pooled_all_auroc,delta_all_auroc_vs_sc,pooled_all_average_precision,delta_all_average_precision_vs_sc,pooled_af2_auroc,median_runtime_sec,runtime_ratio_vs_sc,runtime_ratio_vs_atom_baseline,sidechain_jitter_median_abs_delta,delta_sidechain_jitter_vs_sc,positive_median_score,negative_median_score,positive_minus_negative_median,positive_fraction_ge_0_95,negative_fraction_ge_0_95,score_min,score_max,score_dynamic_range,saturation_reject,production_eligible,diagnostic_only,diagnostic_pass,stage1_reject,af3_not_worse_than_current_atom_gap,improved_rescue_specialist,runtime_ok,robustness_pass,guardrail_pass,accepted_for_production,rank,recommended_candidate,normal_gap_contact_scale
interface_sc,sc_baseline,interface_sc,,,,,,,,,,baseline,,,,,,,,0.0,0.0,0.6275177485448803,0.0,0.6286956311092338,0.0,0.6810568389450089,0.0,0.6637043072186571,0.0,0.7575827129555359,nan,1.0,nan,nan,0.0,0.08428026596002855,0.07006879238334171,0.01421147357668684,0.0,0.0,-0.12647099272640105,0.12435839104184365,0.2508293837682447,0,0,0,0,0,1,0,1,1,1,0,0,0,
atom_gaussian__g32__o0__s1.5__mscoverlap__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_overlap_rescue,12,,,,0.2,0.2,0.0,0.19756254008980115,0.19756254008980115,0.6640206979354266,0.036502949390546324,0.6737330177631102,0.045037386653876466,0.7190396065061243,0.037982767561115405,0.7069906385834664,0.043286331364809305,0.7827542323733474,nan,nan,nan,nan,nan,0.09931297145028381,0.08637267903769597,0.012940292412587845,0.0,0.0,-0.09437024967105742,0.2289342570588024,0.32330450672985983,0,0,1,0,0,1,0,0,0,1,0,1,0,
atom_gaussian__g32__o0__s1.5__mscoverlap__rf0.01__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_overlap_rescue,12,,,,0.2,0.2,0.01,0.19756254008980115,0.19756254008980115,0.6640109101349412,0.036493161590060885,0.673779007357231,0.04508337624799719,0.7190945654109745,0.03803772646596559,0.707101873537428,0.0433975663187709,0.7830534622172632,nan,nan,nan,nan,nan,0.0976617844607387,0.08458319935703074,0.013078585103707963,0.0,0.0,-0.09637024967105742,0.2273191626483282,0.32368941231938564,0,0,1,0,0,1,0,0,0,1,0,2,0,
atom_gaussian__g32__o0__s1.5__mscnonuniform__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_gap_nonuniform_rescue,12,,,,0.2,0.2,0.0,0.19756254008980115,0.19756254008980115,0.6621414402422154,0.034623691697335146,0.6722304210230406,0.04353478991380688,0.7177576529160972,0.036700813971088264,0.7058374376161622,0.0421331303975051,0.7828462612061441,nan,nan,nan,nan,nan,0.09866626638211892,0.08567990281444898,0.01298636356766994,0.0,0.0,-0.09523462212918507,0.22548922814688083,0.32072385027606587,0,0,1,0,0,1,0,0,0,1,0,3,0,
atom_gaussian__g32__o0__s1.5__mscnonuniform__rf0.01__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_gap_nonuniform_rescue,12,,,,0.2,0.2,0.01,0.19627966645285438,0.19627966645285438,0.6621303474016652,0.034612598856784915,0.6722823479879547,0.043586716878720955,0.7177798592844084,0.03672302033939945,0.7059538576537001,0.04224955043504297,0.7830918529433707,nan,nan,nan,nan,nan,0.09699012765526016,0.08391122954537124,0.013078898109888923,0.0,0.0,-0.09723462212918507,0.2238741337364066,0.3211087558655917,0,0,1,0,0,1,0,0,0,1,0,4,0,
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.16__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_overlap_rescue,12,,,,0.2,0.16,0.0,0.1930724823604875,0.1930724823604875,0.6634262521859421,0.035908503641061795,0.673214478922072,0.044518847812838214,0.7182995922791948,0.03724275333418592,0.7058533956051602,0.04214908838650311,0.7824533688815121,nan,nan,nan,nan,nan,0.09819624470316816,0.08547113824028843,0.012725106462879734,0.0,0.0,-0.09437024967105742,0.21347398123543582,0.30784423090649327,0,0,1,0,0,1,0,0,0,1,0,5,0,
atom_gaussian__g32__o0__s1.5__mscoverlap__rs0.16__rf0.01__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_overlap_rescue,12,,,,0.2,0.16,0.01,0.19243104554201412,0.19243104554201412,0.6633981938245505,0.03588044527967016,0.673276251106791,0.04458061999755725,0.7183653201586441,0.03730848121363517,0.7060409601821873,0.042336652963530175,0.7828751223193879,nan,nan,nan,nan,nan,0.09672762000785384,0.08380755755173852,0.012920062456115322,0.0,0.0,-0.09637024967105742,0.2120418597237432,0.3084121093948006,0,0,1,0,0,1,0,0,0,1,0,6,0,
atom_gaussian__g32__o0__s1.5__mscnonuniform__rs0.16__rf0.01__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_gap_nonuniform_rescue,12,,,,0.2,0.16,0.01,0.19050673508659396,0.19050673508659396,0.6616223605564691,0.034104612011588764,0.6719102058233264,0.043214574714092624,0.7171744201055716,0.03611758116056274,0.7051239185801746,0.041419611361517505,0.7830602690835943,nan,nan,nan,nan,nan,0.0961387109163157,0.08324735747920183,0.012891353437113881,0.0,0.0,-0.09723462212918507,0.20898711569071957,0.30622173781990464,0,0,1,0,0,1,0,0,0,1,0,7,0,
atom_gaussian__g32__o0__s1.5__mscnonuniform__rs0.16__f12,sc_gated_rescue,atom_gaussian,32,0,1.5,,,,,2.0,8.0,sc_gated_gap_nonuniform_rescue,12,,,,0.2,0.16,0.0,0.1898652982681206,0.1898652982681206,0.6616670581786861,0.0341493096338058,0.6719202673750384,0.04322463626580464,0.7171274822300778,0.036070643285068926,0.7049518779816508,0.04124757076299368,0.7826665599350026,nan,nan,nan,nan,nan,0.09763272996250795,0.08486114123488786,0.01277158872762009,0.0,0.0,-0.09523462212918507,0.21041923720241218,0.3056538593315973,0,0,1,0,0,1,0,0,0,1,0,8,0,
atom_gaussian__g32__o10__s1.5__f12,per_side,atom_gaussian,32,10,1.5,,,,,2.0,8.0,hard_cutoff,12,,,,,,,0.1892238614496472,0.1892238614496472,0.5701181713778612,-0.057399577167019045,0.62045838208262,-0.008237249026613713,0.5671121754323892,-0.11394466351261967,0.6047672113154774,-0.05893709590317975,0.565861604971953,nan,nan,nan,nan,nan,0.9684934514281095,0.9612645384183045,0.007228913009804994,0.687156683233063,0.6155593412833618,0.4192852317447367,0.9999656227075441,0.5806803909628073,1,0,1,0,1,0,0,0,0,0,0,9,0,
