jobs,model_used,interface,iptm_ptm,iptm,ptm,confidence_score,pDockQ/mpDockQ,average_interface_pae,interface_average_plddt,interface_num_intf_residues,interface_polar,interface_hydrophobic,interface_charged,interface_contact_pairs,interface_score,interface_pDockQ2,interface_ipSAE,interface_LIS,interface_hb,interface_sb,interface_ss,interface_sc,interface_area,interface_solv_en,voroif_pgoodness,voroif_area,voroif_pgoodness_average,voroif_pcadscore,voroif_num_of_residues,voroif_residue_pcadscore
Q86TG7+O95751,model_4_multimer_v3_pred_0,7_8,0.6811025670098686,0.752277672290802,0.396402145886135,0.6811025670098686,0.46110293631374694,11.137333333333334,68.6071974522293,157,0.25477707006369427,0.43312101910828027,0.2356687898089172,225,161.37665046374818,0.057514677780726525,0.6843797926250574,0.5006955851217497,18,20,0,0.48745356216910973,3579.4011307239493,-39.16353104471163,4445.17280089934,3762.02412179664,1.18159072270288,0.575090497522312,189.0,0.543748648726441
Q13751+Q9UBB4,model_1_multimer_v3_pred_0,A_B,0.6811124617731182,0.7287982106208801,0.4903694663820707,0.6811124617731182,0.1370265422499177,18.800393700787403,57.67880434782609,92,0.2608695652173913,0.31521739130434784,0.32608695652173914,127,121.34488320724714,0.017913126437194855,0.5309865665466094,0.23530119988683368,7,4,0,0.2510094965232047,1858.8401383659166,-12.108499147030557,-4719.41156090167,1920.65467039664,-2.45718901666329,0.00313501401971195,122.0,0.0131652356330931
O00189+Q9UPM8,model_4_multimer_v3_pred_0,7_8,0.6669419500955565,0.690995454788208,0.5707279313249503,0.6669419500955565,0.4558831050444934,10.661428571428571,79.55448979591837,98,0.2857142857142857,0.3469387755102041,0.2653061224489796,105,160.7946834684788,0.090513133230567,0.5738060182746033,0.27016437791899267,7,4,0,0.3663655633651135,2102.3280670049407,-21.670821784991062,991.319821799606,2106.16570432282,0.470675132429022,0.292720412779994,136.0,0.447343264808855
Q00653+O14920,model_5_multimer_v3_pred_0,6_7,0.6479314719199296,0.6852854490280151,0.49851556348758763,0.6479314719199296,0.23277854696421613,22.645918367346937,62.75479166666667,96,0.3125,0.3125,0.1875,147,136.00954781767706,0.01584431141203162,0.6061813263999957,0.3583280271427088,18,0,0,0.3273610516271186,1694.5039145326011,-18.7905035641287,59.7863771680766,1846.21917588,0.032383141692578,0.166214817127836,116.0,0.311864406724674
O95900+P08559,model_3_multimer_v3_pred_0,8_9,0.6730891513261349,0.6464252471923828,0.779744767861143,0.6730891513261349,0.057851228215269584,2.9166666666666665,90.75166666666667,12,0.4166666666666667,0.3333333333333333,0.16666666666666666,12,97.93749671423204,0.6373972684190653,0.5648050147999732,0.2854625168377019,2,0,0,0.5123416536343679,268.60399621810285,0.5254300042546447,818.387119643134,249.088075,3.28553311772606,0.978315232005494,17.0,0.879756035964727
P49257+P09972,model_5_multimer_v3_pred_0,6_7,0.6327840726595153,0.6342650055885315,0.6268603409434503,0.6327840726595153,0.11865623537402151,20.047435897435896,73.87875,32,0.25,0.15625,0.46875,39,117.54586433635896,0.01784181289247772,0.22261033110302794,0.14223128621128178,3,4,0,0.27703635385590186,640.8568435944119,-0.3542135790236216,-1764.52398459519,674.224648533317,-2.6171158061837,0.00240325192982016,53.0,0.00598308870982323
O43463+O75558,model_2_multimer_v3_pred_0,9_A,0.6006054956283176,0.5972306728363037,0.6141047867963728,0.6006054956283176,0.18162055734484536,18.140641711229947,56.754260869565215,115,0.2782608695652174,0.30434782608695654,0.3217391304347826,187,128.9366911917046,0.014697663280170456,0.38328828350429384,0.239418806737509,22,18,0,0.31087464467361625,2356.0064593052593,-6.841703635306544,-1264.22344904739,2612.45285138912,-0.483922015425146,0.0777582053325502,130.0,0.338115141796472
P56945+Q92882,model_3_multimer_v3_pred_0,8_9,0.5146858085106256,0.5678517818450928,0.30202191517275684,0.5146858085106256,0.2999158382510594,15.281297709923663,67.99281553398059,103,0.23300970873786409,0.18446601941747573,0.36893203883495146,131,143.95923664091447,0.025282551248741066,0.24474142633732376,0.24081162948471765,14,20,0,0.35478079099688764,2329.9050057110107,-8.84592455045248,449.413849232754,2344.414465228,0.19169556232415,0.20633276197717,127.0,0.360189560366404
Q8NHQ8+P41743,model_1_multimer_v3_pred_0,A_B,0.5363127669653468,0.5535440444946289,0.46738765684821826,0.5363127669653468,0.2866408532616859,16.213020833333335,62.39330508474576,118,0.2542372881355932,0.2288135593220339,0.3559322033898305,192,142.46271016287542,0.020488585454234418,0.4782571041048453,0.32890407668971183,19,18,0,0.32399825878725064,2752.6555266800387,-6.365763758807475,-191.878026169688,2977.90494694832,-0.0644338988611171,0.14503858880588,157.0,0.322762223660565
Q15020+P49720,model_1_multimer_v3_pred_0,A_B,0.5502529419107113,0.5496789216995239,0.5525490227554605,0.5502529419107113,0.1336301312550727,14.916129032258064,80.91966666666667,30,0.13333333333333333,0.43333333333333335,0.3,31,120.68049114450474,0.022373205535855145,0.012325041280299764,0.03458519687801455,3,12,0,0.42057623108352804,565.4179858386395,-1.1920362961609783,1231.04231012781,557.6441431,2.20757686664532,0.882116585920637,40.0,0.741152766199189
