pair,interface,model_file,label,interface_sc,average_interface_pae,interface_area,backend,organism,atom_gaussian,residue_bead_weighted,joint_residue_ratio
O60645+Q8TAG9,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/O60645+Q8TAG9/seed-3376660799_sample-3/model.cif,positive,0.04246736971886853,28.500333333333334,4272.2924766930955,af3,human,0.9712952442499365,0.9979127859828599,0.3776330537063221
P01579+P15260,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/P01579+P15260/seed-2313144446_sample-4/model.cif,positive,0.04994196760250952,14.621428571428572,2098.4771287132317,af3,human,0.8968470635196134,0.9952843586086838,0.6318562315156021
O95816+Q9UNE7,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/O95816+Q9UNE7/seed-1696477170_sample-1/model.cif,positive,0.058473158789152845,29.099342105263162,2274.8245386947383,af3,human,0.9722883439742153,0.9978591980298614,0.5359846467593955
O75330+Q9H4H8,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/O75330+Q9H4H8/seed-1027612014_sample-2/model.cif,positive,0.05855213268975998,17.876804123711338,4598.573577305768,af3,human,0.9926153928554525,0.9999759268535222,0.39084051521320445
O75832+P17980,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/O75832+P17980/seed-1840936494_sample-4/model.cif,positive,0.059114479850225526,23.557142857142857,1853.0414718549437,af3,human,0.9843953717236642,0.9980554325850238,0.6986686537818704
Q9H0A0+Q9NXG2,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/pos_pairs/predictions/Q9H0A0+Q9NXG2/seed-2528833377_sample-3/model.cif,positive,0.06042706889619007,8.496031746031745,2454.7988294301467,af3,human,0.996464995894562,0.994812060191562,0.6491938763350511
P63000+Q9UKB1,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/P63000+Q9UKB1/seed-3856044194_sample-4/model.cif,negative,0.11230402995081921,12.719565217391304,806.5212270905686,af3,human,0.8672689567417596,0.9837084787709871,0.8412375391452579
P43308+Q8TDN6,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/P43308+Q8TDN6/seed-1629836800_sample-1/model.cif,negative,0.11105008619529637,23.708333333333332,432.6931018424657,af3,human,0.9912256553088077,0.9991456466675807,0.85746459567586
P08195+Q8WUM4,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/P08195+Q8WUM4/seed-1549920669_sample-0/model.cif,negative,0.11022344921882765,23.356896551724137,1060.7040832060593,af3,human,0.9552372740342376,0.9984113278205969,0.7999395193002441
Q16659+Q9H6L2,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/Q16659+Q9H6L2/seed-2842719707_sample-3/model.cif,negative,0.10812296354863787,28.63269230769231,1587.9893460429448,af3,human,0.9933759011526482,0.9981433372443484,0.573415063094301
P28066+P35249,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/P28066+P35249/seed-2381373344_sample-3/model.cif,negative,0.10585673537456171,29.133333333333336,288.2952116260276,af3,human,0.9571697098794777,0.99829692107147,0.8729182242791623
O95997+Q13557,A_B,/g/transform/kosinski/dima/IntAct_BioGRID_STRING/benchmark_26/predictions/human/af3/neg_pairs/predictions/O95997+Q13557/seed-2698765869_sample-3/model.cif,negative,0.10583791418295435,12.286010362694299,6122.939426627418,af3,human,0.9712982514583971,0.9982896626847676,0.7571525454889837
